Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF34;Fordham - Bronx Pk;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF34;Fordham - Bronx Pk;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;Pelham - Throgs Neck;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF34;Pelham - Throgs Neck;Annual Average 2017
Nitrogen dioxide (NO2);Mean;UHF34;Flushing - Clearview;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Upper East Side-Gramercy;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF34;Upper East Side-Gramercy;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF34;Upper East Side-Gramercy;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Chelsea-Village;Summer 2009
Nitrogen dioxide (NO2);Mean;CD;Hunts Point and Longwood (CD2);Annual Average 2015
Nitrogen dioxide (NO2);Mean;Borough;Bronx;Summer 2018
Nitrogen dioxide (NO2);Mean;Borough;Bronx;Summer 2020
Nitrogen dioxide (NO2);Mean;Borough;Bronx;Winter 2009-10
Nitrogen dioxide (NO2);Mean;Borough;Bronx;Summer 2017
Nitrogen dioxide (NO2);Mean;Borough;Brooklyn;Winter 2011-12
Nitrogen dioxide (NO2);Mean;Borough;Brooklyn;Summer 2020
Nitrogen dioxide (NO2);Mean;UHF42;East Flatbush - Flatbush;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Canarsie - Flatlands;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF42;Canarsie - Flatlands;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF42;Southwest Queens;Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF42;Southwest Queens;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF42;Jamaica;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF42;Jamaica;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF34;Central Harlem - Morningside Heights;Annual Average 2014
Nitrogen dioxide (NO2);Mean;UHF34;Central Harlem - Morningside Heights;Summer 2017
Nitrogen dioxide (NO2);Mean;UHF34;Central Harlem - Morningside Heights;Winter 2016-17
Nitrogen dioxide (NO2);Mean;UHF34;Greenpoint;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Downtown - Heights - Slope;Annual Average 2017
Nitrogen dioxide (NO2);Mean;UHF34;Kingsbridge - Riverdale;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Northeast Bronx;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF34;Northeast Bronx;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF34;Northeast Bronx;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;West Queens;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;West Queens;Annual Average 2017
Nitrogen dioxide (NO2);Mean;UHF34;West Queens;Annual Average 2021
